project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,7,Water_Waste,0.08667,12.38,1.45,1.0297,0.0598,153144.92,7651.43,1211.35,266.159
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Agriculture,0.03703,6.3,1.31,0.28,0.02815,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Construction,0.05323,15.18,1.07,0.0564,0.02555,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Energy_Utilities,0.08484,23.73,0.55,0.1539,0.0543,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Health_Social,0.05432,10.11,1.53,0.0686,0.03802,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Manufacturing,0.15279,75.36,1.71,0.3168,0.06417,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Mining_Extraction,0.13308,58.19,1.31,0.3311,0.07452,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Transport_Logistics,0.07164,15.68,0.95,0.0551,0.04298,153355.31,7660.54,1213.098,266.515
hospitals_P1,LATAM,Health_Social,250000000.0,eora26,calibrated_benchmark,8,Water_Waste,0.04092,5.84,0.68,0.4862,0.02824,153355.31,7660.54,1213.098,266.515
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Agriculture,0.25,44.1,11.1,2.31,0.19,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Construction,5.5,1829.52,143.56,7.2292,2.64,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Energy_Utilities,1.75,726.51,14.25,3.8808,1.12,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Health_Social,4.5,975.11,160.09,6.7797,3.15,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Manufacturing,8.75,5047.35,122.36,21.546,3.675,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Mining_Extraction,1.5,741.89,18.35,4.4323,0.84,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Transport_Logistics,1.5,367.29,24.86,1.3419,0.9,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,0,Water_Waste,1.25,223.85,27.97,17.05,0.8625,9955.62,522.54,64.57,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Agriculture,0.673,118.72,29.88,6.2185,0.51148,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Construction,1.178,391.85,30.75,1.5484,0.56544,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Energy_Utilities,1.56,647.63,12.7,3.4595,0.9984,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Health_Social,1.219,264.15,43.37,1.8365,0.8533,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Manufacturing,2.95475,1704.42,41.32,7.2758,1.24099,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Mining_Extraction,2.7395,1354.93,33.52,8.0949,1.53412,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Transport_Logistics,1.35075,330.74,22.39,1.2084,0.81045,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,1,Water_Waste,0.7475,133.86,16.72,10.1959,0.51577,14901.92,753.19,104.408,20.407
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Agriculture,0.34331,60.56,15.24,3.1722,0.26091,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Construction,0.4967,165.22,12.96,0.6529,0.23842,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Energy_Utilities,0.7912,328.47,6.44,1.7546,0.50637,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Health_Social,0.51566,111.74,18.34,0.7769,0.36096,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Manufacturing,1.45185,837.48,20.3,3.575,0.60978,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Mining_Extraction,1.23669,611.65,15.13,3.6543,0.69254,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Transport_Logistics,0.67028,164.13,11.11,0.5996,0.40217,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,2,Water_Waste,0.37748,67.6,8.45,5.1489,0.26046,17248.77,861.16,123.742,23.739
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Agriculture,0.16389,28.91,7.28,1.5144,0.12456,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Construction,0.23666,78.72,6.18,0.3111,0.1136,18356.22,912.21,132.923,25.315
hospitals_P2,Africa,Health_Specialized,25000000.0,eora26,calibrated_benchmark,3,Energy_Utilities,0.37494,155.66,3.05,0.8315,0.23996,18356.22,912.21,132.923,25.315
