project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Manufacturing,1.1654,522.57,11.37,2.2376,0.48947,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Mining_Extraction,0.97715,381.48,8.34,2.2513,0.5472,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Transport_Logistics,0.53457,110.39,6.31,0.3913,0.32074,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,5,Water_Waste,0.29285,38.01,4.15,3.1628,0.20207,132651.85,6202.87,1038.121,253.112
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Agriculture,0.10402,16.85,3.07,0.7022,0.07906,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Construction,0.17814,47.03,3.04,0.1781,0.08551,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Energy_Utilities,0.2988,72.67,1.76,0.4841,0.19123,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Health_Social,0.1928,32.93,4.44,0.2256,0.13496,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Manufacturing,0.52467,235.26,5.12,1.0074,0.22036,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Mining_Extraction,0.43996,171.76,3.76,1.0137,0.24638,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Transport_Logistics,0.24064,49.69,2.84,0.1761,0.14438,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,6,Water_Waste,0.13182,17.11,1.87,1.4236,0.09095,133295.15,6228.77,1043.332,254.305
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Agriculture,0.04682,7.59,1.38,0.3161,0.03559,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Construction,0.0802,21.17,1.37,0.0802,0.0385,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Energy_Utilities,0.13452,32.71,0.79,0.2179,0.08609,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Health_Social,0.08679,14.82,2.0,0.1015,0.06076,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Manufacturing,0.23621,105.92,2.31,0.4535,0.09921,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Mining_Extraction,0.19807,77.33,1.69,0.4564,0.11092,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Transport_Logistics,0.10833,22.37,1.28,0.0793,0.065,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,7,Water_Waste,0.05934,7.7,0.84,0.6409,0.04094,133584.76,6240.43,1045.677,254.842
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Agriculture,0.02108,3.41,0.62,0.1423,0.01602,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Construction,0.03611,9.53,0.62,0.0361,0.01733,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Energy_Utilities,0.06056,14.73,0.36,0.0981,0.03876,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Health_Social,0.03907,6.67,0.9,0.0457,0.02735,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Manufacturing,0.10634,47.68,1.04,0.2042,0.04466,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Mining_Extraction,0.08917,34.81,0.76,0.2054,0.04994,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Transport_Logistics,0.04877,10.07,0.58,0.0357,0.02926,133715.13,6245.69,1046.733,255.084
hospitals_P1,LATAM,Health_Social,250000000.0,benchmark,8,Water_Waste,0.02671,3.47,0.38,0.2885,0.01843,133715.13,6245.69,1046.733,255.084
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Agriculture,0.25,42.0,9.25,2.0625,0.19,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Construction,5.5,1694.0,121.66,6.82,2.64,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Energy_Utilities,1.75,631.75,12.95,3.465,1.12,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Health_Social,4.5,894.6,131.22,6.2775,3.15,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Manufacturing,8.75,4588.5,106.4,19.95,3.675,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Mining_Extraction,1.5,662.4,15.96,4.104,0.84,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Transport_Logistics,1.5,346.5,22.2,1.278,0.9,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,0,Water_Waste,1.25,203.5,23.7,15.5,0.8625,9063.25,443.34,59.457,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Agriculture,0.5315,89.29,19.67,4.3849,0.40394,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Construction,1.12625,346.89,24.91,1.3966,0.5406,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Energy_Utilities,1.56,563.16,11.54,3.0888,0.9984,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Health_Social,1.219,242.34,35.55,1.7005,0.8533,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Manufacturing,2.89375,1517.48,35.19,6.5978,1.21538,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Mining_Extraction,2.51125,1108.97,26.72,6.8708,1.4063,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Transport_Logistics,1.2875,297.41,19.06,1.097,0.7725,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,1,Water_Waste,0.68275,111.15,12.94,8.4661,0.4711,13339.94,628.92,93.06,20.039
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Agriculture,0.25978,43.64,9.61,2.1432,0.19743,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Construction,0.44912,138.33,9.93,0.5569,0.21558,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Energy_Utilities,0.75112,271.16,5.56,1.4872,0.48072,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Health_Social,0.49419,98.25,14.41,0.6894,0.34593,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Manufacturing,1.34045,702.93,16.3,3.0562,0.56299,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Mining_Extraction,1.10405,487.55,11.75,3.0207,0.61827,15275.44,711.68,108.599,23.051
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,2,Transport_Logistics,0.60699,140.22,8.98,0.5172,0.3642,15275.44,711.68,108.599,23.051
