project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Energy_Utilities,0.37536,83.99,2.26,0.6263,0.25224,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Health_Social,0.25385,41.19,6.14,0.3029,0.1848,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Manufacturing,0.62056,269.91,6.3,1.2153,0.26846,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Mining_Extraction,0.52288,198.01,4.6,1.2168,0.3016,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Transport_Logistics,0.31057,62.21,3.88,0.2296,0.19379,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,6,Water_Waste,0.16572,20.65,2.49,1.8256,0.11892,131937.36,6709.95,1095.798,272.717
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Agriculture,0.05701,9.14,1.77,0.3925,0.04462,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Construction,0.09642,24.69,1.73,0.0974,0.04813,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Energy_Utilities,0.17443,39.03,1.05,0.291,0.11721,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Health_Social,0.11796,19.14,2.85,0.1408,0.08587,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Manufacturing,0.28838,125.43,2.93,0.5648,0.12475,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Mining_Extraction,0.24298,92.01,2.14,0.5654,0.14015,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Transport_Logistics,0.14432,28.91,1.81,0.1067,0.09005,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,7,Water_Waste,0.077,9.6,1.16,0.8483,0.05526,132285.31,6725.39,1098.805,273.423
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Agriculture,0.02649,4.25,0.82,0.1824,0.02074,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Construction,0.04481,11.47,0.8,0.0453,0.02237,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Energy_Utilities,0.08105,18.14,0.49,0.1352,0.05447,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Health_Social,0.05481,8.89,1.33,0.0654,0.0399,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Manufacturing,0.13401,58.29,1.36,0.2624,0.05797,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Mining_Extraction,0.11291,42.76,0.99,0.2628,0.06513,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Transport_Logistics,0.06706,13.43,0.84,0.0496,0.04185,132447.0,6732.56,1100.202,273.751
hospitals_P1,LATAM,Health_Social,250000000.0,oecd,calibrated_benchmark,8,Water_Waste,0.03578,4.46,0.54,0.3942,0.02568,132447.0,6732.56,1100.202,273.751
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Agriculture,0.25,41.58,9.71,2.1037,0.1957,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Construction,5.5,1643.18,127.74,6.8882,2.7456,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Energy_Utilities,1.75,581.21,13.21,3.569,1.176,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Health_Social,4.5,849.87,137.78,6.4031,3.276,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Manufacturing,8.75,4450.84,110.66,20.349,3.78525,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Mining_Extraction,1.5,642.53,16.44,4.145,0.8652,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Transport_Logistics,1.5,336.1,23.53,1.2908,0.936,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,0,Water_Waste,1.25,195.36,25.12,15.81,0.897,8740.67,464.19,60.559,13.877
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Agriculture,0.5315,88.4,20.65,4.4726,0.41606,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Construction,1.12625,336.48,26.16,1.4105,0.56222,12985.86,666.38,96.018,21.093
hospitals_P2,Africa,Health_Specialized,25000000.0,oecd,calibrated_benchmark,1,Energy_Utilities,1.661,551.65,12.54,3.3874,1.11619,12985.86,666.38,96.018,21.093
