project,region,sector_code,investment_usd,database,db_data_source,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,6,Transport_Logistics,0.28689,57.47,3.08,0.2016,0.17213,131357.35,5655.84,1028.016,261.533
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,6,Water_Waste,0.15743,19.41,2.01,1.5982,0.10863,131357.35,5655.84,1028.016,261.533
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Agriculture,0.05694,9.04,1.48,0.3728,0.04327,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Construction,0.09939,25.45,1.53,0.0964,0.04771,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Energy_Utilities,0.18439,39.46,0.95,0.2838,0.11801,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Health_Social,0.1064,17.08,2.18,0.1208,0.07448,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Manufacturing,0.30412,130.91,2.61,0.5722,0.12773,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Mining_Extraction,0.25937,98.22,1.95,0.5737,0.14525,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Transport_Logistics,0.1339,26.82,1.44,0.0941,0.08034,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,7,Water_Waste,0.07347,9.06,0.94,0.7459,0.0507,131713.39,5668.92,1030.876,262.22
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Agriculture,0.02657,4.22,0.69,0.174,0.0202,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Construction,0.04639,11.88,0.71,0.045,0.02227,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Energy_Utilities,0.08606,18.42,0.44,0.1324,0.05508,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Health_Social,0.04966,7.97,1.02,0.0564,0.03476,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Manufacturing,0.14194,61.1,1.22,0.2671,0.05962,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Mining_Extraction,0.12106,45.84,0.91,0.2678,0.06779,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Transport_Logistics,0.06249,12.52,0.67,0.0439,0.0375,131879.57,5675.02,1032.21,262.541
hospitals_P1,LATAM,Health_Social,250000000.0,exiobase,calibrated_benchmark,8,Water_Waste,0.03429,4.23,0.44,0.3481,0.02366,131879.57,5675.02,1032.21,262.541
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Agriculture,0.25,41.16,8.14,2.0006,0.19,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Construction,5.5,1643.18,109.49,6.6154,2.64,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Energy_Utilities,1.75,555.94,11.27,3.2918,1.12,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Health_Social,4.5,840.92,116.79,6.0892,3.15,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Manufacturing,8.75,4404.96,93.63,19.551,3.675,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Mining_Extraction,1.5,642.53,14.04,3.9398,0.84,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Transport_Logistics,1.5,336.1,20.2,1.2269,0.9,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,0,Water_Waste,1.25,193.32,21.33,14.57,0.8625,8658.11,394.89,57.285,13.378
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Agriculture,0.5315,87.51,17.31,4.2533,0.40394,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Construction,1.12625,336.48,22.42,1.3547,0.5406,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Energy_Utilities,1.7365,551.65,11.18,3.2664,1.11136,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Health_Social,1.219,227.8,31.64,1.6495,0.8533,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Manufacturing,2.982,1501.21,31.91,6.663,1.25244,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Mining_Extraction,2.64925,1134.81,24.81,6.9584,1.48358,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Transport_Logistics,1.2875,288.49,17.34,1.0531,0.7725,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,1,Water_Waste,0.68275,105.59,11.65,7.9581,0.4711,12891.65,563.15,90.441,20.266
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,2,Agriculture,0.26549,43.71,8.64,2.1246,0.20177,14876.84,640.67,106.29,23.487
hospitals_P2,Africa,Health_Specialized,25000000.0,exiobase,calibrated_benchmark,2,Construction,0.46385,138.58,9.23,0.5579,0.22265,14876.84,640.67,106.29,23.487
